"team","number_of_athletes"
"Germania II",1
"Rozenn-3",1
"Rush IV",1
"Gem VII",1
"Gem IV",1
"Gem III",1
"Gem II",1
"Gem",1
"Gam II",1
"Augsburg",1
"Saga-2",1
"SagaII",1
"Galopin-9",1
"Galopin-20",1
"Frip IV",1
"Fortuna",1
"Finn II",1
"Santa Maria",1
"Feo",1
"Sarcelle-3",1
"Sarcelle-35",1
"Vaxholm Roddklubb",1
"Favorite-17",1
"Scotia",1
"Scotland",1
"Scotland-2",1
"Favorite-1",1
"Scram",1
"Seawanhaka Boat Club-1",1
"Fantasio III",1
"Fada",1
"Serbia-2",1
"Esterel-1",1
"Serendipity",1
"Esperia",1
"Aschenbrodel",1
"Ariel",1
"Sidi-Fekkar-14",1
"Sidi Fekkar-36",1
"Espadarte",1
"Yeoman VII",1
"England",1
"Sirene",1
"Argonaut Rowing Club",1
"Vicking",1
"Slaghoken II",1
"Encore",1
"Elvis Va",1
"Arcturus",1
"Elsie",1
"Viking",1
"Elisabeth V",1
"East Germany-3",1
"Dylan-2",1
"Dresden",1
"Socit Nautique de Bayonne-1",1
"Socit Nautique de Bayonne-2",1
"Dormy-1",1
"Vinha",1
"Dinah V",1
"Diablo",1
"Virginie",1
"Denmark/Sweden",1
"Yugoslavia-1",1
"Davenport Turngemeinde, Davenport",1
"Aldebaran",1
"South St Louis Turnverein, St Louis",1
"Daisy",1
"South Yemen",1
"Souvenance",1
"Czechoslovakia-3",1
"Cuba-2",1
"Crabe II-4",1
"Crabe II-12",1
"Crabe II-1",1
"Crabe I-3",1
"Crabe I-2",1
"Spirit III",1
"Crabe I-11",1
"St. Louis Amateur Athletic Association",1
"St. Louis Southwest Turnverein #1-2",1
"St. Margrite",1
"Covunco III",1
"Starlight III",1
"Wannsee",1
"Struten",1
"Complex II",1
"Clementine V",1
"Chuckles",1
"Acturus",1
"Chok",1
"Chicago Athletic Association-2",1
"Chicago Athletic Association",1
"Chicago Archers",1
"Web III",1
"Swedish Star",1
"Swift",1
"Chaje II",1
"Cha-Cha III",1
"Ceres II",1
"Sydney Rowing Club",1
"Aphrodite",1
"Cercle Nautique de Reims-4",1
"Central Turnverein, Chicago",1
"Tajamar",1
"Carabinier-5",1
"Apache",1
"Carabinier-15",1
"Antares",1
"Terrible",1
"Caprice",1
"Ancora",1
"30. Februar",1
"Amolgavar",1
"Thessalonki-1",1
"Tichiboo",1
"Tilly",1
"Acipactli",1
"Canopus",1
"White Lady",1
"Calypse II",1
"Tom Kyle",1
"Calimucho",1
"Tornade-16",1
"Whitini Star",1
"Calcinhas",1
"Tournade-40",1
"Trans-Mississippi Golf Association-2",1
"Widgeon",1
"Burundi",1
"Trintel II",1
"Burkina Faso",1
"Tu-Fri",1
"Bu III",1
"Brynhild-2",1
"Bronia",1
"Turnverein Vorwrts, Chicago",1
"Turnverein Vorwrts, Cleveland",1
"Wiking",1
"Tuvalu",1
"Twins II",1
"Willem-Six",1
"Brigantia",1
"Briar",1
"Breslau",1
"Umberta V",1
"Boreas-2",1
"Bonzo",1
"Mistral Hojris",1
"Missouri Athletic Club-3",1
"Mirtala",1
"Mignon-3",1
"Monaco-1",1
"Monaco-2",1
"Mignon-29",1
"Monica",1
"Mexico-2",1
"Moorina",1
"Morena",1
"Mexico-1",1
"Meteor",1
"Amateur Athletic Association",1
"Bluebottle",1
"Unique",1
"May Be VII",1
"Mutafo",1
"May Be",1
"Blue Red",1
"Naiad",1
"May-Be 1960",1
"Namoussa",1
"Mauritius-1",1
"Nausikaa 4",1
"Bingo",1
"Matrero II",1
"Marmi II-1",1
"Bermudian",1
"Bermudes",1
"Marmara",1
"Mari",1
"New York Athletic Club-1",1
"Malaysia-2",1
"New York Athletic Club #1-1",1
"United States-10",1
"United States-14",1
"Magdalen College Boat Club-1",1
"Mad Dog",1
"Lucky Star",1
"Lucky Girl-1",1
"Berliner Ruderclub",1
"London City Police-1",1
"Bera",1
"Llanoria",1
"Leander Club #2-2",1
"Leander Club #1-1",1
"Nirefs",1
"Nirwana",1
"United States-6",1
"Kullan",1
"Nortazo",1
"United States-7",1
"Konstanz",1
"North Korea-1",1
"Kon-Tiki",1
"KNS",1
"Kitty-1",1
"Kiribati",1
"Norway-3",1
"United States-9",1
"Norwegier Turnverein, Brooklyn",1
"Nykjbings paa Falster",1
"Oleander II",1
"Oleander XII",1
"Olen",1
"Akatonbo",1
"Kingfisher",1
