"name","team","sport","event","year"
"Charles James Bacon, Jr.","United States","Athletics","Athletics Men's 400 metres Hurdles",1908
"Stanley Vivian Bacon","Great Britain","Wrestling","Wrestling Men's Middleweight, Freestyle",1908
"Diana Bacosi","Italy","Shooting","Shooting Women's Skeet",2016
"Pter Baczak","Hungary","Weightlifting","Weightlifting Men's Middle-Heavyweight",1980
"Sunday Bada","Nigeria","Athletics","Athletics Men's 4 x 400 metres Relay",2000
"John Charles ""Felix"" Badcock","Great Britain","Rowing","Rowing Men's Coxless Fours",1932
"Ioana Badea","Romania","Rowing","Rowing Women's Coxed Quadruple Sculls",1984
"Svetlana Mikhaylovna Badulina (-Safronova)","Soviet Union","Volleyball","Volleyball Women's Volleyball",1980
"Angelika Bahmann","East Germany","Canoeing","Canoeing Women's Kayak Singles, Slalom",1972
"Karl Bhre","Germany","Water Polo","Water Polo Men's Water Polo",1928
"Ernst Baier","Germany-1","Figure Skating","Figure Skating Mixed Pairs",1936
"Margaret Ann Bailes (Johnson-)","United States","Athletics","Athletics Women's 4 x 100 metres Relay",1968
"Antonio Bailetti","Italy","Cycling","Cycling Men's 100 kilometres Team Time Trial",1960
"Aleen May Bailey","Jamaica","Athletics","Athletics Women's 4 x 100 metres Relay",2004
"Christina ""Chris"" Bailey","United States","Ice Hockey","Ice Hockey Women's Ice Hockey",1998
"Donovan Bailey","Canada","Athletics","Athletics Men's 100 metres",1996
"Donovan Bailey","Canada","Athletics","Athletics Men's 4 x 100 metres Relay",1996
"Henry Marvin Bailey","United States","Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres",1924
"Horace Peter Bailey","Great Britain","Football","Football Men's Football",1908
"Kemar Bailey-Cole","Jamaica","Athletics","Athletics Men's 4 x 100 metres Relay",2012
"Kemar Bailey-Cole","Jamaica","Athletics","Athletics Men's 4 x 100 metres Relay",2016
"Timothy ""Tim"" Baillie","Great Britain-1","Canoeing","Canoeing Men's Canadian Doubles, Slalom",2012
"Louis Charles Baillon","England-1","Hockey","Hockey Men's Hockey",1908
"Flix Pierre Victor Bailly","France","Art Competitions","Art Competitions Mixed Architecture, Architectural Designs",1932
"Angie Lee Bainbridge","Australia","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",2008
"George Hetzel Baird","United States","Athletics","Athletics Men's 4 x 400 metres Relay",1928
"Svetlana Nikolayevna Baitova","Soviet Union","Gymnastics","Gymnastics Women's Team All-Around",1988
"Oksana Serhivna Baiul","Ukraine","Figure Skating","Figure Skating Women's Singles",1994
"Wiliam Robert ""Bill"" Baker","United States","Ice Hockey","Ice Hockey Men's Ice Hockey",1980
"Kathleen Baker","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",2016
"Keshia Chantay Baker (-Kirtz)","United States","Athletics","Athletics Women's 4 x 400 metres Relay",2012
"Laurie Baker (-Mutch)","United States","Ice Hockey","Ice Hockey Women's Ice Hockey",1998
"Mashu Baker","Japan","Judo","Judo Men's Middleweight",2016
"Walter Thane Baker","United States","Athletics","Athletics Men's 4 x 100 metres Relay",1956
"Vincent Lamont ""Vin"" Baker","United States","Basketball","Basketball Men's Basketball",2000
"Jill Bakken (-Linder)","United States-2","Bobsleigh","Bobsleigh Women's Two",2002
"Roberto Balado Mndez","Cuba","Boxing","Boxing Men's Super-Heavyweight",1992
"Dmitry Igorevich Balandin","Kazakhstan","Swimming","Swimming Men's 200 metres Breaststroke",2016
"Iolanda Bala (-Ster)","Romania","Athletics","Athletics Women's High Jump",1960
"Iolanda Bala (-Ster)","Romania","Athletics","Athletics Women's High Jump",1964
"Nikolay Fyodorovich Balboshin","Soviet Union","Wrestling","Wrestling Men's Heavyweight, Greco-Roman",1976
"Andrs Balcz","Hungary","Modern Pentathlon","Modern Pentathlon Men's Team",1960
"Andrs Balcz","Hungary","Modern Pentathlon","Modern Pentathlon Men's Team",1968
"Andrs Balcz","Hungary","Modern Pentathlon","Modern Pentathlon Men's Individual",1972
"Baldo Baldi","Italy","Fencing","Fencing Men's Foil, Team",1920
"Baldo Baldi","Italy","Fencing","Fencing Men's Sabre, Team",1920
"Andrea Baldini","Italy","Fencing","Fencing Men's Foil, Team",2012
"Ercole Baldini","Italy","Cycling","Cycling Men's Road Race, Individual",1956
"Stefano Baldini","Italy","Athletics","Athletics Men's Marathon",2004
"Giuseppe Baldo","Italy","Football","Football Men's Football",1936
"Marta Bald Marn","Spain","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group",1996
"Ivano Bali","Croatia","Handball","Handball Men's Handball",2004
"Nikolaus ""Klaus"" Balkenhol","Germany","Equestrianism","Equestrianism Mixed Dressage, Team",1992
"Nikolaus ""Klaus"" Balkenhol","Germany","Equestrianism","Equestrianism Mixed Dressage, Team",1996
"Catherine Northcutt ""Catie"" Ball (-Condon)","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",1968
"Lloy James Ball","United States","Volleyball","Volleyball Men's Volleyball",2008
"Flicia Michele Sylviane Ballanger (-Vetu)","France","Cycling","Cycling Women's Sprint",1996
"Flicia Michele Sylviane Ballanger (-Vetu)","France","Cycling","Cycling Women's Sprint",2000
"Flicia Michele Sylviane Ballanger (-Vetu)","France","Cycling","Cycling Women's 500 metres Time Trial",2000
"Ivar Eugen Ballangrud (Eriksen-)","Norway","Speed Skating","Speed Skating Men's 5,000 metres",1928
"Ivar Eugen Ballangrud (Eriksen-)","Norway","Speed Skating","Speed Skating Men's 500 metres",1936
"Ivar Eugen Ballangrud (Eriksen-)","Norway","Speed Skating","Speed Skating Men's 5,000 metres",1936
"Ivar Eugen Ballangrud (Eriksen-)","Norway","Speed Skating","Speed Skating Men's 10,000 metres",1936
"Daniel Ballart Sans","Spain","Water Polo","Water Polo Men's Water Polo",1996
"Jos Luis Ballester Tuliesa","Spain","Sailing","Sailing Mixed Multihull",1996
"Suzanne Elspeth ""Suzy"" Balogh","Australia","Shooting","Shooting Women's Trap",2004
"Samuel J. ""Sam"" Balter, Jr.","United States","Basketball","Basketball Men's Basketball",1936
"Ramona Balthasar","East Germany","Rowing","Rowing Women's Coxed Eights",1988
"Flix Balyu","Belgium","Football","Football Men's Football",1920
"Guido Balzarini","Italy","Fencing","Fencing Men's Sabre, Team",1924
"Oana Mihaela Ban","Romania","Gymnastics","Gymnastics Women's Team All-Around",2004
"Edward Joseph ""Ed"" Banach","United States","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle",1984
"Lou David Banach","United States","Wrestling","Wrestling Men's Heavyweight, Freestyle",1984
"Willy Bandholz","Germany","Handball","Handball Men's Handball",1936
"Voldimars ""Valdemar"" Bandolowski","Denmark","Sailing","Sailing Mixed Three Person Keelboat",1976
"Voldimars ""Valdemar"" Bandolowski","Denmark","Sailing","Sailing Mixed Three Person Keelboat",1980
"ver Maximiliano David Banega","Argentina","Football","Football Men's Football",2008
"Bang Su-Hyeon","South Korea","Badminton","Badminton Women's Singles",1996
"Jesper Bank","Denmark","Sailing","Sailing Mixed Three Person Keelboat",1992
"Jesper Bank","Denmark","Sailing","Sailing Mixed Three Person Keelboat",2000
"Helmut Bantz","Germany","Gymnastics","Gymnastics Men's Horse Vault",1956
"Carina Br","Germany","Rowing","Rowing Women's Quadruple Sculls",2016
"Samir Bara","Croatia","Water Polo","Water Polo Men's Water Polo",2012
"Xavier Barachet","France","Handball","Handball Men's Handball",2012
"Primo Baran","Italy","Rowing","Rowing Men's Coxed Pairs",1968
"Nataliya Ivanovna Baranova (Masolkina-)","Russia","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",2006
"Yelena Viktorovna Baranova","Unified Team","Basketball","Basketball Women's Basketball",1992
"rpd Brny","Hungary","Fencing","Fencing Men's epee, Team",1964
"Andrey Stanislavovich Barbashinsky","Unified Team","Handball","Handball Men's Handball",1992
"Darren Barber","Canada","Rowing","Rowing Men's Coxed Eights",1992
"Paul Jason Barber","Great Britain","Hockey","Hockey Men's Hockey",1988
"Raymond James ""Ray"" Barbuti","United States","Athletics","Athletics Men's 400 metres",1928
"Raymond James ""Ray"" Barbuti","United States","Athletics","Athletics Men's 4 x 400 metres Relay",1928
"Danio Bardi","Italy","Water Polo","Water Polo Men's Water Polo",1960
"Mara del Carmen Barea Cobos","Spain","Hockey","Hockey Women's Hockey",1992
"Hakon Barfod","Pan","Sailing","Sailing Mixed Three Person Keelboat",1948
"Hakon Barfod","Pan","Sailing","Sailing Mixed Three Person Keelboat",1952
"Oleksiy Stepanovych Barkalov","Soviet Union","Water Polo","Water Polo Men's Water Polo",1972
"Oleksiy Stepanovych Barkalov","Soviet Union","Water Polo","Water Polo Men's Water Polo",1980
"Clifford Eugene ""Cliff"" Barker","United States","Basketball","Basketball Men's Basketball",1948
"Elinor Jane Barker","Great Britain","Cycling","Cycling Women's Team Pursuit",2016
"Charles Wade Barkley","United States","Basketball","Basketball Men's Basketball",1992
"Charles Wade Barkley","United States","Basketball","Basketball Men's Basketball",1996
"Jane Louise Barkman (-Brown)","United States","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",1968
"Jane Louise Barkman (-Brown)","United States","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",1972
"Donald Argee ""Don"" Barksdale","United States","Basketball","Basketball Men's Basketball",1948
"Valrie Gisele Angele Barlois-Mevel-Leroux","France","Fencing","Fencing Women's epee, Team",1996
"Vladimir Mikhaylovich Barnashov","Soviet Union","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",1980
"Harrison Bryce Jordan Barnes","United States","Basketball","Basketball Men's Basketball",2016
"Velvet James ""Jim"" Barnes","United States","Basketball","Basketball Men's Basketball",1964
"Jennifer-Kirsten Barnes","Canada","Rowing","Rowing Women's Coxless Fours",1992
"Jennifer-Kirsten Barnes","Canada","Rowing","Rowing Women's Coxed Eights",1992
"Lee Stratford Barnes, Jr.","United States","Athletics","Athletics Men's Pole Vault",1924
"Eric Randolph ""Randy"" Barnes","United States","Athletics","Athletics Men's Shot Put",1996
"John Thomas Barnett","Australasia","Rugby","Rugby Men's Rugby",1908
"Bengt Baron","Sweden","Swimming","Swimming Men's 100 metres Backstroke",1980
"Khasan Makharbekovich Baroyev","Russia","Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman",2004
"Bronte Amelia Arnold Barratt","Australia","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",2008
"Wilhelm Baumann","Germany","Handball","Handball Men's Handball",1936
"Hermann Joseph Barrelet","France","Rowing","Rowing Men's Single Sculls",1900
"Frederick Whitfield Barrett","Great Britain","Polo","Polo Men's Polo",1920
"Michael Thomas ""Mike"" Barrett","United States","Basketball","Basketball Men's Basketball",1968
"Edward ""Ned"" Barrett","London City Police-1","Tug-Of-War","Tug-Of-War Men's Tug-Of-War",1908
"Peter Jones Barrett","United States","Sailing","Sailing Mixed Two Person Keelboat",1968
"Herbert Roper Barrett","Great Britain-1","Tennis","Tennis Men's Doubles, Covered Courts",1908
"Sonia Barrio Gutirrez","Spain","Hockey","Hockey Women's Hockey",1992
"Michael Ray ""Mike"" Barrowman","United States","Swimming","Swimming Men's 200 metres Breaststroke",1992
"Jack Leonard ""Jay"" Barrs, Jr.","United States","Archery","Archery Men's Individual",1988
"Yuliya Vladimirovna Barsukova (-Samokhin)","Russia","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual",2000
"Istvn Barta (Berger)","Hungary","Water Polo","Water Polo Men's Water Polo",1932
"Marcello Bartalini","Italy","Cycling","Cycling Men's 100 kilometres Team Time Trial",1984
"Carmine R. ""Carmen"" Barth (DiBartolomeo-)","United States","Boxing","Boxing Men's Middleweight",1932
"Josef Henri ""Josy"" Barthel","Luxembourg","Athletics","Athletics Men's 1,500 metres",1952
"Yan Barthelem Varela","Cuba","Boxing","Boxing Men's Light-Flyweight",2004
"Richard Barthlemy","Italy","Art Competitions","Art Competitions Mixed Music",1912
"Robert Bartko","Germany","Cycling","Cycling Men's Individual Pursuit, 4,000 metres",2000
"Robert Bartko","Germany","Cycling","Cycling Men's Team Pursuit, 4,000 metres",2000
"Charles Henry Bartlett","Great Britain","Cycling","Cycling Men's 100 kilometres",1908
"Michiel Bernhard Emiel Marie Bartman","Netherlands","Rowing","Rowing Men's Coxed Eights",1996
"Gregory Mark ""Greg"" Barton","United States","Canoeing","Canoeing Men's Kayak Singles, 1,000 metres",1988
"Gregory Mark ""Greg"" Barton","United States","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",1988
"Saskia Bartusiak","Germany","Football","Football Women's Football",2016
"Anita Brwirth (-Hardekopf)","Germany","Gymnastics","Gymnastics Women's Team All-Around",1936
"Olga Fyodorovna Barysheva-Korostelyova","Soviet Union","Basketball","Basketball Women's Basketball",1976
"Olga Fyodorovna Barysheva-Korostelyova","Soviet Union","Basketball","Basketball Women's Basketball",1980
"Anatoly Vasilyevich Bashashkin","Soviet Union","Football","Football Men's Football",1956
"Mirko Bai","Yugoslavia","Handball","Handball Men's Handball",1984
"Fabio Basile","Italy","Judo","Judo Men's Half-Lightweight",2016
"Giulio Basletta","Italy","Fencing","Fencing Men's epee, Team",1928
"Raymond Henry ""Benny"" Bass","United States","Gymnastics","Gymnastics Men's Rope Climbing",1932
"Lanny Robert Bassham","United States","Shooting","Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",1976
"Istvn Bsti","Hungary","Football","Football Men's Football",1968
"Louis Bastien","France","Cycling","Cycling Men's 25 kilometres",1900
"Guillaume Bastille","Canada","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",2010
"Dsir Bastin","Belgium","Football","Football Men's Football",1920
"Waldemar Romuald Baszanowski","Poland","Weightlifting","Weightlifting Men's Lightweight",1964
"Waldemar Romuald Baszanowski","Poland","Weightlifting","Weightlifting Men's Lightweight",1968
"Stephen James ""Steve"" Batchelor","Great Britain","Hockey","Hockey Men's Hockey",1988
"Vladimir Batez","Serbia and Montenegro","Volleyball","Volleyball Men's Volleyball",2000
"Walter Bathe","Germany","Swimming","Swimming Men's 200 metres Breaststroke",1912
"Walter Bathe","Germany","Swimming","Swimming Men's 400 metres Breaststroke",1912
"Roberto Battaglia","Italy","Fencing","Fencing Men's epee, Team",1952
"Mavlet Alavdinovich Batyrov","Russia","Wrestling","Wrestling Men's Featherweight, Freestyle",2004
"Mavlet Alavdinovich Batyrov","Russia","Wrestling","Wrestling Men's Lightweight, Freestyle",2008
"Sabine Christiane Bau","West Germany","Fencing","Fencing Women's Foil, Team",1988
"Fritz Bauer","Germany","Rowing","Rowing Men's Coxed Fours",1936
"Paul Friedrich Peter Bauer","Germany","Art Competitions","Art Competitions Mixed Literature",1932
"Rudolf (-Rezs) Bauer","Hungary","Athletics","Athletics Men's Discus Throw",1900
"Sybil Lorina Bauer","United States","Swimming","Swimming Women's 100 metres Backstroke",1924
"Viola Bauer","Germany","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",2002
"Pierre Baugniet","Belgium","Figure Skating","Figure Skating Mixed Pairs",1948
"Hermine ""Herma"" Bauma","Austria","Athletics","Athletics Women's Javelin Throw",1948
"Alexander ""Alex"" Baumann","Canada","Swimming","Swimming Men's 200 metres Individual Medley",1984
"Alexander ""Alex"" Baumann","Canada","Swimming","Swimming Men's 400 metres Individual Medley",1984
"Dieter Baumann","Germany","Athletics","Athletics Men's 5,000 metres",1992
"Matthias Andreas Baumann","West Germany","Equestrianism","Equestrianism Mixed Three-Day Event, Team",1988
"Bernd Baumgart","East Germany","Rowing","Rowing Men's Coxed Eights",1976
"Wolfgang Baumgart","West Germany","Hockey","Hockey Men's Hockey",1972
"Bruce Robert Baumgartner","United States","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle",1984
"Bruce Robert Baumgartner","United States","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle",1992
"James Aloysius Bernard ""Jim"" Bausch","United States","Athletics","Athletics Men's Decathlon",1932
"Sergey Viktorovich Bautin","Unified Team","Ice Hockey","Ice Hockey Men's Ice Hockey",1992
"Daniel Bautista Rocha","Mexico","Athletics","Athletics Men's 20 kilometres Walk",1976
"Florence  Andre Isabelle Baverel-Robert","France","Biathlon","Biathlon Women's 7.5 kilometres Sprint",2006
"Irving Knott ""Irv"" Baxter","United States","Athletics","Athletics Men's High Jump",1900
"Irving Knott ""Irv"" Baxter","United States","Athletics","Athletics Men's Pole Vault",1900
"Ryan Neville Bayley","Australia","Cycling","Cycling Men's Sprint",2004
"Ryan Neville Bayley","Australia","Cycling","Cycling Men's Keirin",2004
"Mithat Bayrak","Turkey","Wrestling","Wrestling Men's Welterweight, Greco-Roman",1956
"Mithat Bayrak","Turkey","Wrestling","Wrestling Men's Welterweight, Greco-Roman",1960
"Svetlana Valeryevna Bazhanova","Russia","Speed Skating","Speed Skating Women's 3,000 metres",1994
"Nikolay Serafimovich Bazhukov","Soviet Union","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",1976
"Nikolay Serafimovich Bazhukov","Soviet Union","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",1980
"Charles Beachey Beachcroft (Kay-)","Devon and Somerset Wanderers","Cricket","Cricket Men's Cricket",1900
"Robert ""Bob"" Beamon","United States","Athletics","Athletics Men's Long Jump",1968
"Amanda Ray Beard (-Brown)","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",1996
"Amanda Ray Beard (-Brown)","United States","Swimming","Swimming Women's 200 metres Breaststroke",2004
"Elizabeth Ann ""Betsy"" Beard (-Stillings)","United States","Rowing","Rowing Women's Coxed Eights",1984
"Ralph Milton Beard, Jr.","United States","Basketball","Basketball Men's Basketball",1948
"Clment Beaud","Cameroon","Football","Football Men's Football",2000
"Roger Joseph Edmond Beaufrand","France","Cycling","Cycling Men's Sprint",1928
"Bronisaw Bebel","Poland","Volleyball","Volleyball Men's Volleyball",1976
"Serhiy Vasylovych Bebeshko","Unified Team","Handball","Handball Men's Handball",1992
"Milivoj Bebi","Yugoslavia","Water Polo","Water Polo Men's Water Polo",1984
"Anna Rose Bebington-Watkins","Great Britain","Rowing","Rowing Women's Double Sculls",2012
"Luigi Beccali","Italy","Athletics","Athletics Men's 1,500 metres",1932
"Kelly Bchard","Canada","Ice Hockey","Ice Hockey Women's Ice Hockey",2002
"Petre Becheru","Romania","Weightlifting","Weightlifting Men's Light-Heavyweight",1984
"Laura Bechtolsheimer (-Tomlinson)","Great Britain","Equestrianism","Equestrianism Mixed Dressage, Team",2012
"Lewis William ""Lew"" Beck, Jr.","United States","Basketball","Basketball Men's Basketball",1948
"Nicole Elise Beck","Australia","Rugby Sevens","Rugby Sevens Women's Rugby Sevens",2016
"Volker Beck","East Germany","Athletics","Athletics Men's 400 metres Hurdles",1980
"Daniel Becke","Germany","Cycling","Cycling Men's Team Pursuit, 4,000 metres",2000
"Andreas Becker","Germany","Hockey","Hockey Men's Hockey",1992
"Boris Franz Becker","Germany","Tennis","Tennis Men's Doubles",1992
"Otto Becker","Germany","Equestrianism","Equestrianism Mixed Jumping, Team",2000
"Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)","United States","Diving","Diving Women's Springboard",1924
"Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)","United States","Diving","Diving Women's Platform",1928
"Franz Ernst Beckert","Germany","Gymnastics","Gymnastics Men's Team All-Around",1936
"Stephanie Beckert","Germany","Speed Skating","Speed Skating Women's Team Pursuit (6 laps)",2010
"William Russell Becklean","United States","Rowing","Rowing Men's Coxed Eights",1956
"ric Bdard","Canada","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",1998
"ric Bdard","Canada","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",2002
"Myriam Bdard","Canada","Biathlon","Biathlon Women's 7.5 kilometres Sprint",1994
"Myriam Bdard","Canada","Biathlon","Biathlon Women's 15 kilometres",1994
"Barbara Jane ""B. J."" Bedford (-Miller)","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",2000
"Donald Anton Eilers ""Don"" Beer","United States","Rowing","Rowing Men's Coxed Eights",1956
"Ludger Beerbaum","West Germany","Equestrianism","Equestrianism Mixed Jumping, Team",1988
"Ludger Beerbaum","Germany","Equestrianism","Equestrianism Mixed Jumping, Individual",1992
"Ludger Beerbaum","Germany","Equestrianism","Equestrianism Mixed Jumping, Team",1996
"Ludger Beerbaum","Germany","Equestrianism","Equestrianism Mixed Jumping, Team",2000
"Joseph Beerli","Switzerland-2","Bobsleigh","Bobsleigh Men's Four",1936
"Daniel ""Dan"" Beery","United States","Rowing","Rowing Men's Coxed Eights",2004
"Richard Beesly","Great Britain","Rowing","Rowing Men's Coxless Fours",1928
"Dale Begg-Smith","Australia","Freestyle Skiing","Freestyle Skiing Men's Moguls",2006
"Giuseppe Beghetto","Italy","Cycling","Cycling Men's Tandem Sprint, 2,000 metres",1960
"Petra Behle-Schaaf","Germany","Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay",1998
"Matthias Behr","West Germany","Fencing","Fencing Men's Foil, Team",1976
"Holger Behrendt","East Germany","Gymnastics","Gymnastics Men's Rings",1988
"Jan Behrendt","Germany-1","Luge","Luge Mixed (Men)'s Doubles",1992
"Jan Behrendt","Germany-1","Luge","Luge Mixed (Men)'s Doubles",1998
"Jutta Behrendt (Hampe-)","East Germany","Rowing","Rowing Women's Single Sculls",1988
"Wolfgang Behrendt","Germany","Boxing","Boxing Men's Bantamweight",1956
"Melanie Behringer","Germany","Football","Football Women's Football",2016
"Anthonie Christiaan ""Teun"" Beijnen","Netherlands","Rowing","Rowing Men's Coxless Pairs",1924
"Ruth Beita Vila","Spain","Athletics","Athletics Women's High Jump",2016
"Sofia Bekatorou (-Kosmatopoulos)","Greece","Sailing","Sailing Women's Two Person Dinghy",2004
"Kenenisa Bekele Beyecha","Ethiopia","Athletics","Athletics Men's 10,000 metres",2004
"Kenenisa Bekele Beyecha","Ethiopia","Athletics","Athletics Men's 5,000 metres",2008
"Kenenisa Bekele Beyecha","Ethiopia","Athletics","Athletics Men's 10,000 metres",2008
"Aleksandr Vladimirovich Beketov","Russia","Fencing","Fencing Men's epee, Individual",1996
"Kristin Bekkevold","Norway","Football","Football Women's Football",2000
"Daniel N'Dene Bekono","Cameroon","Football","Football Men's Football",2000
"Tracey Lee Belbin","Australia","Hockey","Hockey Women's Hockey",1988
"Mathew Belcher","Australia","Sailing","Sailing Men's Two Person Dinghy",2012
"Valeri Belenki","Unified Team","Gymnastics","Gymnastics Men's Team All-Around",1992
"Gregory Curtis ""Greg"" Bell","United States","Athletics","Athletics Men's Long Jump",1956
"Florence Isabel ""Jane"" Bell (-Walker, -Doane)","Canada","Athletics","Athletics Women's 4 x 100 metres Relay",1928
"Regla Maritza Bell McKenzie","Cuba","Volleyball","Volleyball Women's Volleyball",1992
"Regla Maritza Bell McKenzie","Cuba","Volleyball","Volleyball Women's Volleyball",1996
"Regla Maritza Bell McKenzie","Cuba","Volleyball","Volleyball Women's Volleyball",2000
"Walter Jones ""Walt"" Bellamy, Jr.","United States","Basketball","Basketball Men's Basketball",1960
"Norman Dean ""Norm"" Bellingham","United States","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",1988
"E. Bellotti","Marinai della nave da guerra ""Varese""","Rowing","Rowing Men's 6-Man Naval Rowing Boats",1906
"Ettore Bellotto","Italy","Gymnastics","Gymnastics Men's Team All-Around",1920
"Antonella Bellutti","Italy","Cycling","Cycling Women's Individual Pursuit, 3,000 metres",1996
"Antonella Bellutti","Italy","Cycling","Cycling Women's Points Race",2000
"Miles Aubrey Bellville","Lalage","Sailing","Sailing Mixed 6 metres",1936
"Stefania Belmondo","Italy","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",1992
"Stefania Belmondo","Italy","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",2002
"Mireia Belmonte Garca","Spain","Swimming","Swimming Women's 200 metres Butterfly",2016
"Anatoly Alekseyevich Beloglazov","Soviet Union","Wrestling","Wrestling Men's Flyweight, Freestyle",1980
"Sergey Alekseyevich Beloglazov","Soviet Union","Wrestling","Wrestling Men's Bantamweight, Freestyle",1980
"Sergey Alekseyevich Beloglazov","Soviet Union","Wrestling","Wrestling Men's Bantamweight, Freestyle",1988
"Melissa Louise Belote (-Hamlin, -Ripley)","United States","Swimming","Swimming Women's 100 metres Backstroke",1972
"Melissa Louise Belote (-Hamlin, -Ripley)","United States","Swimming","Swimming Women's 200 metres Backstroke",1972
"Melissa Louise Belote (-Hamlin, -Ripley)","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",1972
"Vladimir Pavlovich Belousov","Soviet Union","Ski Jumping","Ski Jumping Men's Large Hill, Individual",1968
"Lyudmila Yevgenevna Belousova (-Protopopova)","Soviet Union-1","Figure Skating","Figure Skating Mixed Pairs",1964
"Lyudmila Yevgenevna Belousova (-Protopopova)","Soviet Union-1","Figure Skating","Figure Skating Mixed Pairs",1968
"Aleksandr Aleksandrovich Belov","Soviet Union","Basketball","Basketball Men's Basketball",1972
"Sergey Aleksandrovich Belov","Soviet Union","Basketball","Basketball Men's Basketball",1972
"Irina Olegovna Belova","Russia","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group",2000
"Olesya Vladimirovna Belugina","Russia","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group",2004
"Vladimir Timofeyevich Belyakov","Soviet Union","Gymnastics","Gymnastics Men's Team All-Around",1952
"Yevgeny Prokopyevich Belyayev","Soviet Union","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",1980
"Ferenc Bene","Hungary","Football","Football Men's Football",1964
"Emil Benecke","Germany","Water Polo","Water Polo Men's Water Polo",1928
"Gbor Benedek","Hungary","Modern Pentathlon","Modern Pentathlon Men's Team",1952
"Tibor Benedek","Hungary","Water Polo","Water Polo Men's Water Polo",2000
"Tibor Benedek","Hungary","Water Polo","Water Polo Men's Water Polo",2004
"Tibor Benedek","Hungary","Water Polo","Water Polo Men's Water Polo",2008
"Charles Sumner Benedict","United States","Shooting","Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",1908
"Andrea Benelli","Italy","Shooting","Shooting Men's Skeet",2004
"Bengt Folke Bengtsson","Sweden","Gymnastics","Gymnastics Men's Team All-Around, Swedish System",1920
"Gsta Ragnar Bengtsson (-Bewert)","Kullan","Sailing","Sailing Mixed 30 metres",1920
"Lindsay Dianne Benko (-Mintenko)","United States","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",2000
"Lindsay Dianne Benko (-Mintenko)","United States","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",2004
"James Randolph ""Jamie"" Benn","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",2014
"Huelet Leo ""Joe"" Benner","United States","Shooting","Shooting Men's Free Pistol, 50 metres",1952
"Robert Earl ""Bob"" Bennett","United States","Swimming","Swimming Men's 4 x 100 metres Medley Relay",1960
"Robert Earl ""Bob"" Bennett","United States","Swimming","Swimming Men's 4 x 100 metres Medley Relay",1964
"Brooke Marie Bennett (-Frioud)","United States","Swimming","Swimming Women's 800 metres Freestyle",1996
"Brooke Marie Bennett (-Frioud)","United States","Swimming","Swimming Women's 400 metres Freestyle",2000
"Brooke Marie Bennett (-Frioud)","United States","Swimming","Swimming Women's 800 metres Freestyle",2000
"Charles Bennett","Great Britain","Athletics","Athletics Men's 1,500 metres",1900
"Charles Bennett","Amateur Athletic Association","Athletics","Athletics Men's 5,000 metres, Team",1900
"John Hadfield ""Jack"" Bennett","Great Britain","Hockey","Hockey Men's Hockey",1920
"Paul Bennett","Great Britain","Rowing","Rowing Men's Coxed Eights",2016
"Carina Marguerite Benninga","Netherlands","Hockey","Hockey Women's Hockey",1984
"Joan Benoit (-Samuelson)","United States","Athletics","Athletics Women's Marathon",1984
