"team","total_unique_athletes","total_olympic_participations","total_gold_medals","total_silver_medals","total_bronze_medals","total_medals","first_year_of_participation","last_year_of_participation"
"Rush IV",1,1,0,0,0,0,1956,1956
"Russia-3",4,5,0,0,0,0,1998,2014
"Rwanda",5,7,0,0,0,0,1984,2016
"Saar",10,23,0,0,0,0,1952,1952
"Sabre",2,2,0,0,0,0,1952,1952
"Saga-2",1,1,0,0,0,0,1908,1908
"SagaII",1,1,0,0,0,0,1960,1960
"Saint Kitts and Nevis",4,20,0,0,0,0,1996,2016
"Saint Lucia",7,8,0,0,0,0,1996,2016
"Saint Vincent and the Grenadines",9,16,0,0,0,0,1988,2016
"Samoa",12,18,0,0,0,0,1984,2016
"San Marino",35,63,0,0,0,0,1960,2010
"Sao Tome and Principe",5,6,0,0,0,0,1996,2016
"Sarcelle-35",1,1,0,0,0,0,1900,1900
"Saskia",2,2,0,0,0,0,1936,1936
"Scotland",1,1,0,0,0,0,1912,1912
"Scotland-2",1,1,0,0,0,0,1912,1912
"Scram",1,1,0,0,0,0,1960,1960
"Serbia-2",1,1,0,0,0,0,2012,2012
"Serendipity",1,1,0,0,0,0,1964,1964
"Seychelles",26,38,0,0,0,0,1980,2016
"Shoveller",2,2,0,0,0,0,1952,1952
"Siames-Cat",2,2,0,0,0,0,1960,1960
"Sidi-Fekkar-14",1,2,0,0,0,0,1900,1900
"Sidi Fekkar-36",1,1,0,0,0,0,1900,1900
"Sierra Leone",19,37,0,0,0,0,1968,2008
"Sjhxa",2,2,0,0,0,0,1952,1952
"Snowten III",2,2,0,0,0,0,1960,1960
"Snude",3,3,0,0,0,0,1952,1952
"Societ Nautique de la Marne",5,5,0,0,0,0,1900,1900
"Societ Nautique de la Marne-3",3,3,0,0,0,0,1900,1900
"Socit Nautique de Bayonne",6,8,0,0,0,0,1912,1912
"Socit Nautique de la Basse Seine-2",2,2,0,0,0,0,1906,1906
"Solomon Islands",5,6,0,0,0,0,1984,2016
"Somalia",9,16,0,0,0,0,1972,2012
"Sonja II",2,2,0,0,0,0,1912,1912
"South Africa-2",2,2,0,0,0,0,1920,1920
"South St Louis Turnverein, St Louis",1,1,0,0,0,0,1904,1904
"South Vietnam",3,4,0,0,0,0,1952,1968
"South Yemen",1,1,0,0,0,0,1988,1988
"Souvenance",1,1,0,0,0,0,1900,1900
"Soviet Union-3",7,7,0,0,0,0,1972,1988
"Spain-1",9,11,0,0,0,0,1900,2016
"Spain-2",6,8,0,0,0,0,1920,2008
