"year","name","team","sport","event"
2012,"Ulrika Maria gren","Sweden","Handball","Handball Women's Handball"
2012,"Renzo Pasquale Zeglio Agresta","Brazil","Fencing","Fencing Men's Sabre, Individual"
2012,"Alberto Martn Aguilar Surez","Venezuela","Athletics","Athletics Men's 4 x 400 metres Relay"
2012,"Alessandra Aguilar Morn","Spain","Athletics","Athletics Women's Marathon"
2012,"Iaki Aguilar Vicente","Spain","Water Polo","Water Polo Men's Water Polo"
2012,"Macarena Aguilar Daz","Spain","Handball","Handball Women's Handball"
2012,"Sandra Aguilar Navarro","Spain","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group"
2012,"Julen Aguinagalde Akizu","Spain","Handball","Handball Men's Handball"
2012,"Jeinkler Ernesto Aguirre Manso","Cuba","Diving","Diving Men's Platform"
2012,"Jeinkler Ernesto Aguirre Manso","Cuba","Diving","Diving Men's Synchronized Platform"
2012,"Marcelo Vctor Aguirre","Paraguay","Table Tennis","Table Tennis Men's Singles"
2012,"Matas Aguirregaray Guruceaga","Uruguay","Football","Football Men's Football"
2012,"Mikel Aguirrezabalaga Garca","Spain","Handball","Handball Men's Handball"
2012,"Feta Ahamada","Comoros","Athletics","Athletics Women's 100 metres"
2012,"Johanna Maria Helne Ahlm","Sweden","Handball","Handball Women's Handball"
2012,"Christian Ahlmann","Germany","Equestrianism","Equestrianism Mixed Jumping, Individual"
2012,"Christian Ahlmann","Germany","Equestrianism","Equestrianism Mixed Jumping, Team"
2012,"Mohamed Ahmad Ali Gharib Juma","United Arab Emirates","Football","Football Men's Football"
2012,"Tontowi Ahmad","Indonesia","Badminton","Badminton Mixed Doubles"
2012,"Waseem Ahmad","Pakistan","Hockey","Hockey Men's Hockey"
2012,"Elaheh Ahmadi","Iran","Shooting","Shooting Women's Air Rifle, 10 metres"
2012,"Elaheh Ahmadi","Iran","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
2012,"Azneem Ahmed","Maldives","Athletics","Athletics Men's 100 metres"
2012,"Fareed Ahmed","Pakistan","Hockey","Hockey Men's Hockey"
2012,"Mohammed Ahmed","Canada","Athletics","Athletics Men's 10,000 metres"
2012,"Shehabeldin Ahmed Saad Ahmed Saad","Egypt","Football","Football Men's Football"
2012,"Odile Ahouanwanou","Benin","Athletics","Athletics Women's 100 metres Hurdles"
2012,"Murielle Ahour","Cote d'Ivoire","Athletics","Athletics Women's 100 metres"
2012,"Murielle Ahour","Cote d'Ivoire","Athletics","Athletics Women's 200 metres"
2012,"Gaby Diana Ahrens","Namibia","Shooting","Shooting Women's Trap"
2012,"Mohammad Ahsan","Indonesia","Badminton","Badminton Men's Doubles"
2012,"Johannes Ahun","Estonia","Sailing","Sailing Men's Windsurfer"
2012,"Michelle-Lee Raquel Ahye","Trinidad and Tobago","Athletics","Athletics Women's 100 metres"
2012,"Michelle-Lee Raquel Ahye","Trinidad and Tobago","Athletics","Athletics Women's 4 x 100 metres Relay"
